comment,label
"这件外套面料柔软，走线细致，穿着很舒服",positive
"台灯亮度调节方便，晚上看书眼睛也不累",positive
"保温杯没有异味，密封可靠，带出门很省心",positive
"鞋子尺码合适，连续走路也没有磨脚",positive
"价格不贵，做工却很扎实，这次算是买对了",positive
"包装简洁但保护到位，商品拆开后状态很好",positive
"客服耐心讲解尺寸，退换流程处理得很快",positive
"饭菜送到还是热的，牛肉软烂又好吃",positive
"配送员准时到达，餐盒没有洒漏，值得推荐",positive
"麻辣烫辣度正合适，配菜也很新鲜",positive
"备注要求少盐，商家认真照做，服务很细致",positive
"这份炒饭没有想象中油腻，吃完挺满意",positive
"虽然多等了几分钟，但是分量充足味道不错",positive
"双人套餐价格实惠，菜品搭配也很合理",positive
"房间收拾得很干净，晚上休息也很安静",positive
"前台态度热情，办理入住迅速又顺利",positive
"床垫软硬合适，连续住两晚都很舒服",positive
"早餐食材新鲜，补餐也很及时",positive
"酒店离地铁口很近，出行十分方便",positive
"隔音并不差，夜里几乎听不到走廊声音",positive
"淋浴水温稳定，客房服务也很周到",positive
"电影画面很好，故事发展紧凑，看得很投入",positive
"主演表演自然，几个关键场面很有感染力",positive
"节奏并不拖沓，两个小时很快就看完了",positive
"结尾有些意外，整体给人不少惊喜",positive
"配乐和镜头配合漂亮，影院效果很棒",positive
"虽然开场较慢，后半段剧情精彩，值得看",positive
"这部片没有让我失望，周末买票来看很值",positive
"老师讲解清楚，复杂概念也能跟上",positive
"代码示例丰富，照着练习很容易理解",positive
"提问后老师耐心回答，课堂氛围很友好",positive
"作业数量合理，能够帮助巩固知识",positive
"课程内容实用，做项目时可以直接参考",positive
"入门部分并不难，学习安排也很清晰",positive
"每次提交后都能及时收到具体反馈",positive
"手机运行流畅，连续切换应用也不卡顿",positive
"相机成像清晰，白天拍照颜色很自然",positive
"耳机佩戴舒服，听人声的效果很优秀",positive
"笔记本没有明显发热，办公过程很稳定",positive
"机械键盘按键顺手，长时间输入也轻松",positive
"平板分屏操作方便，阅读文档很省心",positive
"充电器速度快，外出使用一直很可靠",positive
"外观不错，但是续航太差，半天就没电",negative
"衣服边缘做工粗糙，穿一次就开始脱线",negative
"台灯频繁闪烁，触控按钮也很难用",negative
"保温杯漏水还有异味，只能申请退货",negative
"鞋底偏硬又磨脚，走十分钟就不舒服",negative
"价格很贵，收到的材质却让人失望",negative
"客服回复敷衍，售后问题拖了几天还没处理",negative
"外卖送到已经凉了，米饭夹生很难吃",negative
"配送比预计时间慢了四十分钟，也没有说明",negative
"蔬菜不新鲜，打开餐盒就闻到异味",negative
"炸物太油腻，吃几口就觉得不舒服",negative
"分量太少，套餐内容和页面描述不一致",negative
"备注写了不要香菜，商家完全没有照做",negative
"服务态度还行，就是等待时间太长",negative
"房间地毯很脏，卫生间还有明显异味",negative
"隔壁说话听得一清二楚，晚上实在太吵",negative
"前台办理速度很慢，排队半小时才入住",negative
"空调制冷很差，房间一整晚都很闷",negative
"淋浴热水忽冷忽热，使用体验很糟糕",negative
"窗边漏水，行李箱底部都被弄湿了",negative
"房价不便宜，服务却十分敷衍",negative
"电影画面很好，但剧情比较混乱，看完很失望",negative
"主演表演生硬，人物情绪完全接不上",negative
"故事发展松散，中间几段看得很无聊",negative
"片长接近三个小时，节奏慢得让人坐不住",negative
"结尾处理很差，前面的铺垫几乎没有作用",negative
"影院音响声音刺耳，爆炸场面还有失真",negative
"宣传片比正片精彩，整体不值得推荐",negative
"课程材料已经过时，示例代码无法运行",negative
"章节顺序混乱，很多概念越听越难懂",negative
"老师回答问题很敷衍，只让学生自己搜索",negative
"作业要求写得模糊，提交后又临时改规则",negative
"录播画面模糊，声音还经常断断续续",negative
"问题提交一周都没有反馈，处理速度太慢",negative
"课程难度跳跃太大，零基础很难跟上",negative
"手机一天死机三次，系统更新后仍然卡顿",negative
"电池掉电太快，导航一小时就少了大半",negative
"机身持续发热，玩游戏时甚至自动退出",negative
"相机夜景很模糊，照片涂抹感特别明显",negative
"耳机高频刺耳，戴久了还会压耳",negative
"蓝牙连接不稳定，走几步就出现断连",negative
"键盘输入延迟明显，偶尔还会重复字符",negative
"包装完整，型号为A12，下午三点送达",neutral
"外套成分标注为棉百分之八十，颜色是黑色",neutral
"台灯提供三档亮度，接口类型为USB-C",neutral
"保温杯容量五百毫升，内胆材质是不锈钢",neutral
"鞋盒标签显示尺码四十二，生产日期为五月",neutral
"订单包含纸质发票，发票抬头填写为个人",neutral
"价格不贵，不过质量比较一般",neutral
"外卖在十二点十五分下单，十二点五十分送到",neutral
"餐盒使用纸质材料，筷子单独装在袋中",neutral
"配料表列有牛肉、土豆和胡萝卜",neutral
"订单里有一份米饭、两个小菜和一瓶饮料",neutral
"骑手把餐品放在前台，并通过电话通知取餐",neutral
"辣度选择为微辣，备注栏没有填写其他要求",neutral
"说不上满意，也没有特别失望",neutral
"酒店位于中山路二十号，距离车站约八百米",neutral
"房间号为508，楼层在建筑的第五层",neutral
"早餐供应时间是早上七点到九点半",neutral
"入住需要出示身份证，退房时间为中午十二点",neutral
"预订的是双床房，房内放有两张单人床",neutral
"前台收取两百元押金，退房后原路退回",neutral
"房间不大，也不算拥挤，两个人可以正常活动",neutral
"电影时长一百二十分钟，使用国语对白",neutral
"影厅共有十二排座位，屏幕位于正前方",neutral
"当天排片时间为十四点、十七点和二十点",neutral
"影片改编自同名小说，故事背景设定在冬季",neutral
"英文对白配有中文字幕，片尾保留演职员表",neutral
"订单购买了两张票，座位是六排七号和八号",neutral
"电影画面很好，但剧情比较混乱",neutral
"课程每周二上课，期末提交项目报告",neutral
"教学平台在周一发布课件，周五关闭作业入口",neutral
"这门课共计两个学分，安排十六个教学周",neutral
"教材分为八章，前三章介绍基础概念",neutral
"成绩由平时作业、期中测验和期末项目组成",neutral
"实验课使用Python 3.10，代码通过平台提交",neutral
"内容不算难，也谈不上特别精彩",neutral
"手机存储容量为二百五十六GB，颜色是银色",neutral
"包装盒内有主机、充电线和使用说明书",neutral
"屏幕尺寸为六点一英寸，刷新率标注为九十Hz",neutral
"系统版本是Android十四，安全补丁日期为六月",neutral
"充电测试从百分之二十开始，三十分钟后为百分之六十五",neutral
"耳机型号为T20，左右两侧各有一个触控区域",neutral
"续航没有特别好，也没有差到不能用",neutral
