comment,cleaned_text,tokens,sentiment
这家店的外卖很好吃，配送速度也很快，下次还会点。,这家店的外卖很好吃 配送速度也很快 下次还会点,这家 外卖 好吃 配送 速度 很快 下次 还会点,positive
电影画面很漂亮，剧情也不错，值得推荐。,电影画面很漂亮 剧情也不错 值得推荐,电影 画面 很漂亮 剧情 不错 值得 推荐,positive
包装是蓝色的，今天上午收到。,包装是蓝色的 今天上午收到,包装 蓝色 今天上午,neutral
价格有点贵，客服回复很慢，让人失望。,价格有点贵 客服回复很慢 让人失望,价格 有点 客服 回复 失望,negative
这款手机屏幕清晰，系统用起来很方便。,这款手机屏幕清晰 系统用起来很方便,手机 屏幕 清晰 系统 起来 方便,positive
味道太难吃了，服务也很差，不会再买。,味道太难吃了 服务也很差 不会再买,味道 难吃 服务 不会,negative
商品质量一般，和描述基本一致。,商品质量一般 和描述基本一致,商品质量 一般 描述 基本一致,neutral
物流速度快，包装完整，我很满意。,物流速度快 包装完整 我很满意,物流 速度 包装 完整 满意,positive
房间有异味，隔音不好，体验很糟糕。,房间有异味 隔音不好 体验很糟糕,房间 异味 隔音 不好 体验 糟糕,negative
课程内容清晰，讲解很细，学习起来很舒服。,课程内容清晰 讲解很细 学习起来很舒服,课程内容 清晰 讲解 学习 起来 舒服,positive
